Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,BWA,GDP (current US$),30412309,32902337,35643208,38091151,41613969,45790870,51464435,58646444,66248257,77356914,96245114,127456485,164466874,244129088,306033848,355172414,372010120,451603325,590376721,819877301,1060923829,1073861599,1014907255,1172258182,1240796365,1114764007,1392634772,1965274882,2644536804,3083800685,3790567052,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9918907108,10137883299,10939053365,10945070442,10267133178,12786654498,15351972361,14380004175,14901750991,15654660710,13578754072,15082578065,16088437675,16914245098,16.7B,14.9B,17.6B
Central African Republic,CAF,GDP (current US$),112155599,123134584,124482749,129379098,142025069,150574816,157930042,163820539,191767437,188039191,189106555,201450768,230317908,271183061,281398668,378660016,451152450,507298121,610578524,700764893,797048029,694803503,748312284,658679395,637820621,864849765,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174351,1115389732,1007791186,937741468,967338349,999477511,916777283,932648604,996068146,1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072349974,2220978978,2.2B,2.3B,2.5B
Canada,CAN,GDP (current US$),40461721693,40934952064,42227447632,45029988561,49377522897,54515179581,61088384037,65668655501,71829810520,79148411662,87896095320,99271961775,113082820487,131321858814,160408697342,173834029689,206575564909,211612157029,218632867537,243072102612,273853826548,306214863625,313506525087,340547711782,355372558104,364756499451,377437927312,431316742081,507354351182,565055743243,593929550908,610328183643,592387689253,577170761956,578139279438,604031623433,628546387972,654986999856,634000000000,678412196271,744773415932,738981792355,760649334098,895540646635,1026690238278,1173108598779,1319264809591,1468820407783,1552989690722,1374625142157,1617343367486,1793326630175,1828366481522,1846597421835,1805749878440,1556508816217,1527994741907,1649265644244,1725329192783,1742.0B,1645.4B,1990.8B
Switzerland,CHE,GDP (current US$),9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,122660905890,112339195092,115140108851,114730757467,109547355833,111073640470,159223703930,199403912956,215721878630,208280848463,265987061618,269127820781,280156819798,272466458446,301628489435,353132515011,340471241909,295121356715,303882354118,298520480628,279841151705,287226531169,310175772488,363063293978,405531321271,420544947800,443801905408,493537376708,570304197212,558199868578,603434493403,722038242135,692109693987,712748124223,734396591037,702149580771,695600652899,704478516964,735539301553,731.8B,752.2B,812.9B
Channel Islands,CHI,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945445051,6263177944,6439403014,6233310060,6663436031,7332574116,8553956571,8827299477,9676410338,11515258634,,,,,,,,,,,,,,
Chile,CHL,GDP (current US$),4110000000,4609727273,5416272727,5668187500,5982347826,6026593750,7072641026,7013196078,7167086957,8377093023,9126309735,10884114754,11853817308,16836261173,16210404184,7622217352,10341925249,13962893422,15989933708,21803696985,29036709872,34509878044,25325893206,20355959237,19622527480,17702885394,18891048819,22255407685,26040229793,29885685143,33113887819,37834793730,45964327559,49297773130,57008425296,73447063319,78574385336,85728899954,81995304456,75596103237,78249883996,71517080041,70294892400,76507577235,99079230170,122314960844,153840051814,172565850839,179663403197,171412642047,217105420017,251224856981,267175872540,277239461340,259405202008,242496649874,249298719723,276364933680,295402652037,278.6B,252.7B,317.1B
China,CHN,GDP (current US$),59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,113687586299,138544284709,144182133388,163431551780,153940455342,174938098827,149540752829,178280594413,191149211575,195866382433,205089699859,230686747153,259946510957,309488028133,300758100107,272972974765,312353631208,347768051312,360857912566,383373318084,426915712716,444731282436,564324670008,734547898224,863746717507,961603952954,1029043097559,1093997267277,1211346869600,1339395718863,1470550015078,1660287965664,1955347004966,2285965892364,2752131773359,3550342737010,4594307032668,5101703073089,6087163874511,7551500124197,8532229986994,9570406235660,10475682920598,11061553079872,11233276536745,12310409370894,13894817549380,14279.9B,14687.7B,17734.1B
Cote d'Ivoire,CIV,GDP (current US$),546203562,618245639,645284345,761047046,921063266,919771356,1024103034,1082922892,1281281246,1361360157,1455482990,1584128262,1849400600,2508421235,3070151901,3893839190,4662053708,6265067858,7900524898,9142935858,10175615442,8432588484,7567109767,6838185419,6841638715,6977650069,9158302205,10087653189,10255170460,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,18071153890,18047557172,19619653924,18870992456,16577533355,16810536884,18054384023,21251755294,23510577108,24036917017,25281414473,28760092034,34078243426,33886814907,34936305297,36693712825,36302305578,42760237561,48843008580,45814637971,47964234560,51588158718,58011466451,58.5B,61.3B,69.8B
Cameroon,CMR,GDP (current US$),614206071,652777614,694247726,718320701,776650126,814083378,851112663,936175405,1046191192,1100551379,1151217147,1236941201,1498252050,1901393216,2157415246,2857037371,2898089929,3394663844,4662851757,5919004207,6674567625,6610937473,6611255018,6870200659,7311937457,8544809794,11857056336,13049658331,12236058143,11012566161,12314482085,11840192674,12071775381,16181813512,8902446188,10864773037,11093539497,10789457915,11298144512,11565827386,10566578953,10953485244,12417251816,15970315751,18826215278,19509850837,20910513975,23928251334,27715144580,27932971683,27507499709,30630912185,30155064574,33728622819,36386546918,32210232912,33814337900,36098550142,39973839065,39.7B,40.8B,45.2B
"Congo, Dem. Rep.",COD,GDP (current US$),3359404118,3086746857,3779841429,6213185743,2881545273,4043901818,4532660182,3384063372,3909780539,5032434970,4877684910,5594770359,6173712814,7870239461,9596960180,10237343174,9648583225,12344424764,15372608002,15068422236,14394927495,12537821038,13651667371,11006712650,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9633911368,8227200892,10706246371,5820382232,5643439373,5771454940,6090840548,6217806273,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,47568210068,51.8B,48.7B,54.0B
